ID;Size;Genero_1;Genero_2;Genero_3;Original Release Date;Current Version Release Date
372344620;257070080; Strategy; Puzzle; Entertainment;24/10/2017;13/04/2019
373751016;25155584; Strategy; Entertainment; Action;18/04/2017;18/04/2017
374976525;502263808; Strategy; Puzzle; Entertainment;09/12/2016;13/12/2016
407003328;54369280; Education; Puzzle; Strategy;12/01/2017;01/04/2019
422274101;402186240; Action; Strategy;;12/09/2016;23/03/2017
495529560;117752832; Puzzle; Strategy;;08/02/2018;08/02/2018
508654878;2888704; Role Playing; Strategy;;07/10/2016;07/10/2016
530090434;521525248; Strategy; Entertainment; Card;13/11/2017;20/05/2019
538343907;119953408; Strategy; Board; Lifestyle;29/12/2018;14/02/2019
541366198;194847744; Board; Strategy;;18/04/2016;29/08/2016
543763319;33905664; Role Playing; Strategy;;12/10/2016;29/12/2016
561590863;10841088; Strategy; Simulation;;09/04/2016;09/04/2016
568758251;41425920; Board; Strategy; Travel;04/03/2016;22/07/2018
577764411;183092224; Strategy; Family; Entertainment;12/04/2016;21/10/2017
584927317;185147392; Strategy; Adventure;;13/04/2016;19/04/2017
594730590;42304512; Strategy; Casual;;14/01/2016;29/07/2018
602032189;99334144; Adventure; Entertainment; Strategy;08/02/2016;22/10/2018
615042379;186683392; Strategy;;;23/11/2016;23/11/2016
620455910;135990272; Strategy; Simulation;;06/04/2018;06/04/2018
624499225;76526592; Simulation; Strategy;;07/01/2016;12/03/2019
624499225;76526592; Simulation; Strategy;;07/01/2016;12/03/2019
642455094;170715136; Action; Entertainment; Strategy;24/05/2016;04/01/2017
657395017;195714048; Board; Strategy;;11/02/2016;21/11/2017
685239125;80292864; Strategy; Puzzle; Entertainment;05/12/2016;05/12/2016
690260486;530573312; Education; Strategy; Puzzle;24/08/2017;18/09/2017
695198278;85621760; Entertainment; Strategy; Action;18/05/2016;26/03/2019
695948278;217124864; Strategy; Action;;21/12/2016;18/07/2019
712625826;290205696; Casual; Strategy; Entertainment;16/11/2016;08/08/2017
719466448;154114048; Strategy; Role Playing; Entertainment;15/02/2017;15/02/2017
720187787;628196352; Action; Strategy;;11/01/2017;10/02/2017
749488884;145458176; Action; Strategy;;18/10/2018;10/12/2018
764913765;33672192; Strategy; Entertainment; Casual;04/02/2017;06/02/2017
775766819;21012480; Strategy; Board; Lifestyle;20/06/2016;20/06/2016
775784357;11235328; Card; Lifestyle; Strategy;20/06/2016;20/06/2016
778604970;8830976; Puzzle; Strategy; Lifestyle;20/06/2016;20/06/2016
782925823;11099136; Strategy; Simulation;;09/04/2016;09/04/2016
786329111;115228672; Strategy; Board;;30/06/2016;06/07/2016
787898884;18947072; Strategy; Board; Entertainment;05/01/2018;29/03/2018
789870075;45649920; Strategy; Role Playing; Social Networking;17/05/2016;26/07/2019
821396522;44122112; Social Networking; Strategy; Card;14/05/2016;14/05/2016
824498578;1490944; Casual; Strategy;;19/01/2016;19/01/2016
825276142;642767872; Entertainment; Role Playing; Strategy;17/03/2017;11/07/2019
828410902;126545920; Strategy; Entertainment; Action;28/11/2016;18/07/2019
834388315;44311552; Card; Strategy; Travel;21/03/2016;18/01/2019
836947621;25809920; Puzzle; Strategy; Entertainment;09/03/2018;13/05/2019
838206955;128823296; Strategy; Simulation;;28/03/2019;28/03/2019
849893589;320829440; Action; Strategy;;27/07/2017;14/02/2018
851711277;1308950528; Strategy; Role Playing;;12/01/2017;16/11/2017
853680597;317263872; Board; Strategy;;15/01/2017;26/07/2019
855218411;91089920; Role Playing; Strategy; Entertainment;23/03/2017;05/12/2017
859148736;2124804096; Simulation; Entertainment; Strategy;27/12/2017;26/07/2019
863067072;57128960; Strategy; Simulation; Entertainment;11/09/2016;11/09/2016
878922917;1279717376; Strategy; Action;;20/08/2018;12/06/2019
882446255;142532608; Strategy; Entertainment; Puzzle;04/01/2016;04/01/2016
883660645;206287872; Action; Entertainment; Strategy;14/07/2016;17/06/2019
884150792;276049920; Entertainment; Strategy; Simulation;20/04/2016;10/07/2018
886556499;271295488; Role Playing; Entertainment; Strategy;29/07/2016;28/08/2017
889869710;10908672; Finance; Simulation; Strategy;08/01/2016;13/05/2016
893218518;433802240; Role Playing; Strategy; Entertainment;01/05/2017;21/03/2019
893944381;49473536; Entertainment; Strategy; Role Playing;10/09/2016;10/09/2016
895462868;230885376; Action; Strategy;;27/04/2016;31/10/2018
896495338;27265024; Puzzle; Strategy;;04/02/2016;04/02/2016
904273294;19916800; Strategy; Board;;02/02/2016;05/12/2017
910131008;23476224; Sports; Strategy; Sports;03/09/2016;03/09/2016
910874573;196235264; Strategy; Action;;23/08/2017;09/01/2019
911027021;435403776; Strategy;;;20/12/2016;29/03/2017
912322070;176182272; Action; Strategy;;25/07/2017;06/06/2018
912426273;117941248; Card; Strategy;;24/10/2016;21/01/2019
913465749;10402816; Puzzle; Strategy;;01/01/2016;01/01/2016
913480649;8948736; Casual; Strategy;;01/01/2016;01/01/2016
914343148;270158848; Strategy; Simulation;;13/03/2017;09/08/2018
914537554;70080512; Strategy; Entertainment; Casual;01/02/2018;18/09/2018
914802058;223562752; Strategy; Entertainment; Simulation;06/05/2016;04/12/2017
916190049;91333632; Strategy; Simulation;;22/02/2017;01/03/2017
916684824;421637120; Strategy; Entertainment; Role Playing;19/01/2016;12/12/2018
916794270;16521216; Sports; Sports; Strategy;03/06/2016;03/06/2016
920814354;61403136; Strategy; Puzzle;;17/05/2018;20/05/2018
925881584;89690112; Strategy; Entertainment; Action;22/01/2018;22/01/2018
930064323;332187648; Simulation; Strategy;;16/05/2018;19/07/2019
931425260;18501632; Board; Strategy;;21/06/2016;23/06/2016
932256997;78606336; Role Playing; Strategy;;23/10/2016;23/10/2016
932500451;378431488; Strategy; Role Playing; Entertainment;02/11/2016;22/07/2019
933115211;27959296; Strategy; Casual;;10/03/2016;16/03/2016
934012726;766313472; Role Playing; Strategy; Entertainment;03/07/2018;02/11/2018
934189267;40538112; Entertainment; Strategy; Casual;19/07/2016;19/07/2016
935248296;1508410368; Strategy; Board;;28/07/2016;20/03/2019
936478252;31095808; Strategy; Action;;04/03/2016;16/11/2016
939529493;819206144; Strategy; Entertainment; Card;06/01/2016;11/07/2019
942067926;77906944; Strategy; Entertainment; Board;12/07/2016;15/02/2018
942293005;126474240; Strategy; Entertainment; Action;31/05/2017;23/06/2017
943092940;25435136; Strategy; Board; Utilities;19/09/2017;09/07/2018
945005206;243174400; Adventure; Strategy; Entertainment;13/01/2016;05/05/2016
945012229;268368896; Entertainment; Adventure; Strategy;27/01/2016;14/02/2019
945012729;243174400; Strategy; Adventure; Entertainment;27/01/2016;05/05/2016
945019077;243178496; Adventure; Strategy; Entertainment;02/02/2016;05/05/2016
946617420;499049472; Strategy; Family;;20/04/2016;28/04/2016
948147610;100255744; Simulation; Strategy;;13/10/2016;06/12/2016
949198480;41628672; Entertainment; Strategy; Adventure;08/02/2016;08/02/2016
949737722;24849408; Productivity; Strategy; Family;10/02/2019;10/02/2019
950601495;186421248; Entertainment; Action; Strategy;27/09/2017;26/03/2018
953907211;130736128; Word; Strategy;;15/09/2018;19/09/2018
954952790;153835520; Role Playing; Strategy;;12/12/2016;09/01/2017
954956237;212316160; Role Playing; Strategy;;12/12/2016;09/01/2017
955050656;3964928; Strategy; Action;;17/12/2016;17/12/2016
955050855;4255744; Strategy; Family;;17/12/2016;17/12/2016
955061847;45149184; Strategy; Action;;20/01/2016;20/01/2016
955376012;14059520; Action; Entertainment; Strategy;01/02/2016;01/02/2016
956621095;434000896; Board; Strategy; Entertainment;28/06/2019;28/06/2019
956649108;113536000; Strategy; Board;;28/05/2016;14/06/2016
956736147;357617664; Strategy; Action; Sports;17/01/2019;31/05/2019
957093481;24829952; Casual; Strategy;;22/03/2016;19/04/2017
958371282;21783552; Strategy; Entertainment; Board;09/03/2018;15/07/2019
958674218;108902400; Simulation; Strategy;;23/10/2017;04/02/2019
959226357;128924672; Entertainment; Strategy; Puzzle;03/03/2016;31/08/2016
959304349;85213184; Role Playing; Strategy; Entertainment;18/09/2016;09/01/2017
960842536;156101632; Board; Strategy; Education;12/05/2016;07/06/2019
960904263;114184192; Family; Strategy;;23/03/2016;23/03/2016
960914175;4452352; Puzzle; Strategy;;17/12/2016;17/12/2016
961662290;387187712; Strategy; Simulation;;30/08/2016;13/06/2018
961994680;85874688; Simulation; Strategy; Education;03/05/2016;11/07/2019
962190050;298863616; Entertainment; Strategy; Board;07/03/2016;29/07/2018
962285267;247533568; Strategy; Puzzle;;08/03/2016;31/08/2018
962751764;4747264; Puzzle; Strategy;;17/12/2016;17/12/2016
962969544;203112448; Card; Strategy;;15/05/2018;23/07/2019
963129055;133863424; Casual; Strategy; Entertainment;23/10/2016;28/02/2017
963559287;9981952; Puzzle; Strategy;;17/12/2016;17/12/2016
963559445;6737920; Strategy; Action;;17/12/2016;17/12/2016
963580420;5246976; Strategy; Action;;17/12/2016;17/12/2016
963625098;13430784; Family; Strategy;;17/12/2016;17/12/2016
964435270;206144512; Role Playing; Strategy; Entertainment;25/05/2016;03/11/2016
964492967;22419456; Strategy; Sports;;24/12/2018;24/12/2018
965063325;3715072; Puzzle; Strategy;;17/12/2016;17/12/2016
965770143;7421952; Strategy; Simulation;;17/12/2016;17/12/2016
965770986;4849664; Strategy; Action;;17/12/2016;17/12/2016
965771559;6123520; Puzzle; Strategy;;17/12/2016;17/12/2016
965771566;8253440; Strategy; Simulation;;17/12/2016;17/12/2016
965771582;5820416; Strategy; Action;;16/12/2016;16/12/2016
965771980;10657792; Strategy; Action;;17/12/2016;17/12/2016
966245474;141586432; Strategy; Board;;15/09/2017;04/02/2019
966581181;20452352; Entertainment; Strategy; Card;27/05/2016;21/09/2017
966604742;21947392; Card; Entertainment; Strategy;05/02/2016;02/02/2019
967618164;304736256; Strategy; Adventure;;27/02/2017;31/05/2017
968451126;97979392; Role Playing; Strategy; Books;24/06/2016;24/07/2016
968604229;207526912; Simulation; Food & Drink; Strategy;21/12/2016;24/01/2017
969121796;46632960; Strategy; Action; Entertainment;12/07/2016;15/07/2016
969233809;139576320; Strategy; Role Playing;;21/01/2019;29/07/2019
969264934;60778496; Strategy;;;18/05/2016;09/04/2018
969308582;91019264; Strategy; Action;;29/04/2016;29/04/2016
970029280;138313728; Simulation; Strategy; Entertainment;21/08/2017;28/07/2019
971414822;314932224; Strategy; Adventure;;24/05/2016;22/04/2019
971978300;563453952; Card; Strategy; Entertainment;06/11/2018;01/03/2019
972059895;244802560; Simulation; Strategy; Entertainment;04/04/2017;06/02/2018
972134350;65798144; Puzzle; Entertainment; Strategy;29/02/2016;25/05/2016
972314578;4173824; Simulation; Strategy;;16/12/2016;16/12/2016
972541440;6139904; Strategy; Action;;17/12/2016;17/12/2016
973665908;47927296; Strategy; Puzzle;;28/08/2017;28/08/2017
975087756;24289280; Action; Strategy;;16/12/2016;16/12/2016
975087814;12656640; Action; Strategy;;17/12/2016;17/12/2016
975487304;92116992; Card; Strategy;;23/08/2017;14/05/2018
975534010;28270592; Casual; Strategy;;28/10/2016;28/10/2016
976183189;144759808; Strategy; Casual;;28/02/2018;28/02/2018
977102758;191050752; Strategy; Entertainment; Simulation;23/02/2016;25/06/2019
978294126;25608192; Strategy; Entertainment; Puzzle;13/01/2016;13/01/2016
978598589;561468416; Puzzle; Strategy;;26/10/2016;26/10/2016
978679716;19411968; Sports; Strategy; Entertainment;25/07/2018;25/07/2018
978785617;48596992; Role Playing; Strategy; Social Networking;06/12/2016;26/07/2019
980977103;91544576; Simulation; Strategy;;26/04/2019;26/04/2019
981005320;957011968; Role Playing; Strategy;;06/03/2018;10/04/2018
981800298;151544832; Role Playing; Entertainment; Strategy;30/03/2016;16/07/2019
982784197;29443072; Strategy; Entertainment; Casual;27/02/2016;27/02/2016
982830747;88501248; Adventure; Entertainment; Strategy;06/05/2016;08/10/2016
983099308;252367872; Medical; Puzzle; Strategy;18/03/2016;19/04/2016
983507557;377498624; Strategy; Puzzle;;25/01/2017;07/05/2019
983507557;377498624; Strategy; Puzzle;;25/01/2017;07/05/2019
984987090;14153728; Strategy; Word; Entertainment;17/09/2016;17/09/2016
985653378;87235584; Entertainment; Casual; Strategy;12/10/2016;17/01/2019
987665059;171725824; Strategy; Board; Entertainment;29/06/2016;13/11/2017
987969501;1111119872; Entertainment; Strategy; Board;27/04/2016;13/06/2019
988622073;95235072; Puzzle; Strategy;;23/12/2018;13/01/2019
988892383;138956800; Puzzle; Strategy;;10/09/2016;09/05/2018
990964976;34821120; Entertainment; Puzzle; Strategy;08/06/2017;15/07/2019
991176230;180375552; Role Playing; Strategy;;02/06/2016;07/02/2019
992058779;508731392; Simulation; Strategy; Entertainment;18/06/2017;13/10/2017
992140314;631155712; Strategy; Action;;21/03/2016;22/08/2016
992769295;143662080; Strategy; Casual; Entertainment;01/06/2016;12/09/2018
993019077;16430080; Card; Strategy; Entertainment;30/06/2016;27/09/2017
993024272;20016128; Card; Strategy; Entertainment;24/03/2016;08/01/2019
993217340;22529024; Entertainment; Strategy; Card;12/05/2016;30/01/2019
993290127;178947072; Strategy; Action;;29/03/2016;04/06/2019
993492744;74891264; Strategy; Simulation;;14/07/2016;25/07/2019
994934480;226768896; Entertainment; Strategy; Family;13/03/2016;13/03/2016
996491151;410645504; Card; Strategy;;03/02/2016;17/02/2016
996701462;22457344; Strategy; Entertainment; Card;06/07/2016;05/02/2019
996702904;20591616; Card; Entertainment; Strategy;17/06/2016;21/11/2018
996765248;38839296; Strategy; Lifestyle; Adventure;26/10/2016;03/11/2016
998255369;111316992; Strategy; Simulation; Education;26/02/2016;26/02/2016
998528159;88379392; Strategy; Entertainment; Action;09/01/2016;30/11/2016
999254923;99946496; Puzzle; Strategy; Entertainment;07/01/2016;07/01/2016
1000876192;191660032; Card; Entertainment; Strategy;18/10/2016;13/06/2019
1001780528;399962112; Adventure; Strategy;;10/03/2016;08/07/2019
1001780528;399962112; Adventure; Strategy;;10/03/2016;08/07/2019
1003660287;20233216; Strategy; Simulation;;14/01/2016;13/05/2019
1004539546;244866048; Action; Strategy;;03/05/2016;29/07/2019
1004604650;323195904; Strategy; Board;;03/11/2016;01/08/2017
1004840692;36431872; Strategy; Casual; Entertainment;30/01/2016;10/02/2016
1005077069;174428160; Strategy; Entertainment; Action;19/05/2016;01/08/2018
1005369710;32111616; Puzzle; Education; Strategy;14/07/2016;15/07/2016
1005613566;18488320; Strategy; Puzzle;;02/07/2016;11/07/2016
1006408029;453922816; Entertainment; Simulation; Strategy;22/09/2016;01/05/2019
1007115851;152692736; Action; Strategy;;27/04/2016;03/10/2016
1007163898;493780992; Adventure; Strategy; Entertainment;08/01/2016;10/04/2017
1007719995;42813440; Puzzle; Strategy;;16/03/2016;12/04/2016
1008085790;103673856; Puzzle; Strategy; Entertainment;11/07/2016;11/07/2016
1008111072;275446784; Strategy; Action;;12/12/2016;25/04/2018
1008115747;318094336; Strategy; Role Playing; Social Networking;22/07/2016;17/04/2018
1008237672;31009792; Entertainment; Strategy; Puzzle;18/01/2017;16/02/2017
1008496061;160202752; Strategy; Puzzle; Entertainment;02/06/2016;04/08/2016
1008498805;138254336; Puzzle; Strategy; Entertainment;06/10/2016;27/10/2016
1012231677;136365056; Casual; Entertainment; Strategy;15/02/2016;30/07/2019
1012712705;110904320; Simulation; Strategy;;20/04/2016;12/10/2016
1013586890;77793280; Strategy; Puzzle;;23/10/2017;21/11/2017
1015319886;210097152; Simulation; Strategy;;09/03/2017;23/03/2017
1016278988;12517376; Puzzle; Entertainment; Strategy;04/07/2016;04/07/2016
1017311881;194427904; Adventure; Strategy; Entertainment;08/03/2017;18/07/2019
1017421691;68960256; Strategy; Casual; Entertainment;18/04/2017;12/10/2017
1017451361;12027904; Photo & Video; Strategy; Puzzle;20/03/2017;20/03/2017
1018002876;68304896; Strategy; Role Playing;;03/02/2016;06/01/2019
1019151694;1177903104; Action; Strategy;;05/01/2016;29/01/2019
1019161597;353225728; Entertainment; Strategy; Action;23/05/2017;31/07/2019
1019375416;162195456; Adventure; Strategy;;21/06/2019;21/06/2019
1020122228;79204352; Role Playing; Strategy; Entertainment;19/01/2016;15/02/2016
1020270390;309653504; Action; Strategy;;06/12/2016;01/06/2018
1020481008;301735936; Strategy; Puzzle;;18/08/2016;26/07/2018
1020657631;75215872; Strategy; Puzzle;;16/11/2016;22/05/2018
1021193728;252769280; Strategy; Role Playing;;12/09/2016;22/12/2017
1021213658;1142192128; Entertainment; Strategy; Adventure;14/06/2017;25/09/2017
1022009538;35585024; Word; Strategy;;06/06/2016;27/01/2017
1022301472;266844160; Action; Strategy; Entertainment;26/10/2016;30/08/2018
1022522049;23917568; Action; Strategy;;04/09/2016;19/04/2017
1022778366;389742592; Strategy; Casual;;15/01/2016;15/01/2016
1023122187;172079104; Entertainment; Role Playing; Strategy;12/09/2016;03/02/2017
1023129652;31218688; Strategy; Action;;14/03/2016;14/11/2016
1023217774;81687552; Strategy; Board;;01/11/2016;26/01/2017
1023620059;186218496; Entertainment; Casual; Strategy;10/11/2017;18/11/2017
1024477788;330498048; Entertainment; Casual; Strategy;23/04/2016;29/04/2017
1024951378;339950592; Sports; Strategy;;13/01/2016;27/06/2019
1024953824;259408896; Strategy; Card;;14/03/2016;22/09/2017
1024953838;259339264; Card; Strategy;;14/03/2016;22/09/2017
1025073240;61639680; Casual; Strategy;;15/07/2017;21/07/2019
1025097056;14145536; Strategy; Casual;;23/01/2016;21/07/2019
1027377652;23205888; Strategy; Board; Entertainment;24/06/2016;29/07/2016
1027509027;31680512; Strategy; Social Networking; Board;28/01/2016;06/08/2018
1027558459;66561024; Strategy; Puzzle;;22/01/2016;19/10/2016
1028093140;14072832; Strategy;;;06/06/2016;01/03/2018
1028093140;14072832; Strategy;;;06/06/2016;01/03/2018
1028880836;94307328; Adventure; Entertainment; Strategy;12/01/2016;12/01/2016
1028905361;232891392; Strategy; Entertainment; Casual;30/01/2016;10/02/2016
1029094059;241390592; Entertainment; Casual; Strategy;26/06/2017;27/07/2019
1029428859;65739776; Sports; Strategy;;28/01/2016;01/05/2018
1029575255;59527168; Puzzle; Strategy; Entertainment;25/06/2016;25/06/2016
1029906784;293967872; Strategy; Trivia;;13/12/2017;13/12/2017
1030804846;332215296; Entertainment; Card; Strategy;20/01/2016;01/04/2019
1031569021;166575104; Strategy; Puzzle;;21/08/2016;24/03/2017
1031856919;136067072; Card; Strategy;;26/04/2017;08/06/2019
1031870897;493310976; Role Playing; Entertainment; Strategy;21/04/2017;24/05/2019
1032350290;21040128; Action; Strategy; Food & Drink;10/07/2017;10/07/2017
1033279145;30437376; Strategy; Role Playing;;13/01/2016;29/01/2016
1033447295;219266048; Strategy; Board;;19/07/2016;19/07/2016
1033781064;568483840; Action; Strategy;;07/12/2016;17/08/2018
1033792662;7657472; Entertainment; Casual; Strategy;17/03/2016;17/03/2016
1034085661;68511744; Entertainment; Strategy; Puzzle;15/03/2017;15/03/2017
1034623811;57624576; Puzzle; Strategy; Entertainment;27/02/2016;22/04/2019
1034920425;204416000; Strategy; Puzzle;;23/05/2017;09/07/2019
1035494079;240102400; Role Playing; Strategy;;18/02/2016;24/07/2019
1035540472;121507840; Role Playing; Strategy; Entertainment;28/01/2016;28/01/2016
1035581522;1250794496; Strategy;;;13/01/2016;13/01/2016
1035663788;183353344; Strategy; Action;;10/05/2017;19/06/2019
1035690543;15592448; Strategy; Puzzle; Entertainment;30/04/2016;30/04/2016
1035712810;165965824; Strategy; Action;;17/10/2017;01/08/2019
1036309469;22491136; Sports; Strategy;;12/03/2016;04/05/2016
1036403692;235515904; Simulation; Strategy; Education;18/02/2016;18/02/2016
1037159428;134644736; Puzzle; Photo & Video; Strategy;03/06/2016;03/06/2016
1037951642;29247488; Strategy; Puzzle; Entertainment;10/02/2016;31/01/2017
1038089590;17733632; Strategy; Casual;;21/11/2016;21/03/2017
1038313626;242729984; Simulation; Productivity; Strategy;27/01/2016;22/05/2018
1038398094;71447552; Strategy; Board;;02/03/2017;27/05/2017
1038819090;88698880; Board; Strategy;;11/03/2016;11/03/2016
1038913047;169892864; Strategy; Simulation;;20/01/2016;02/03/2018
1039841501;1056594944; Simulation; Entertainment; Strategy;06/07/2016;17/07/2019
1039971965;127086592; Strategy; Simulation;;01/12/2016;08/10/2018
1040096415;38088704; Adventure; Entertainment; Strategy;29/03/2016;29/03/2016
1040164434;33698816; Role Playing; Entertainment; Strategy;06/08/2016;06/08/2016
1040214518;82173952; Action; Strategy;;07/01/2016;07/01/2016
1040216653;24059904; Action; Strategy;;07/01/2016;07/01/2016
1041202497;55668736; Entertainment; Strategy; Action;14/03/2016;14/03/2016
1041310492;28130304; Simulation; Entertainment; Strategy;19/02/2016;19/02/2016
1041411730;33240064; Entertainment; Casual; Strategy;09/03/2016;09/03/2016
1041613348;83681280; Strategy; Entertainment; Board;30/04/2016;30/04/2016
1043668442;250297344; Strategy; Entertainment; Adventure;13/01/2016;29/08/2016
1043738296;267362304; Adventure; Strategy;;24/03/2016;15/10/2016
1044072978;290428928; Entertainment; Role Playing; Strategy;27/01/2016;02/08/2018
1044522265;65942528; Strategy; Entertainment;;15/01/2016;15/01/2016
1044715598;70324224; Casual; Strategy; Entertainment;02/08/2018;02/08/2018
1044966398;327197696; Adventure; Entertainment; Strategy;21/11/2016;22/05/2019
1045080100;122684416; Sports; Sports; Strategy;29/04/2016;29/04/2016
1045432017;126879744; Entertainment; Puzzle; Strategy;01/06/2016;01/06/2016
1045436888;296724480; Strategy; Sports; Sports;05/05/2016;15/07/2019
1045436888;296724480; Strategy; Sports; Sports;05/05/2016;15/07/2019
1045453171;70036480; Strategy; Casual; Entertainment;09/09/2016;09/09/2016
1045993737;124385280; Entertainment; Strategy; Role Playing;05/04/2019;22/07/2019
1046402839;14578688; Strategy; Puzzle; Education;04/05/2016;24/09/2018
1046417782;61741056; Strategy; Simulation;;22/09/2016;04/11/2016
1046483972;20113408; Strategy; Puzzle;;08/05/2017;08/05/2017
1046974105;211424256; Strategy; Simulation;;09/01/2017;09/05/2018
1047235144;446679040; Action; Entertainment; Strategy;03/11/2016;29/08/2018
1047316672;22179840; Strategy;;;11/05/2016;12/05/2016
1047714727;24706048; Strategy; Casual;;07/02/2016;07/02/2016
1048126070;60318720; Strategy; Education; Board;27/01/2016;17/05/2019
1048453960;163663872; Strategy; Entertainment; Action;04/09/2016;28/09/2016
1048458452;44187648; Puzzle; Education; Strategy;13/01/2016;13/04/2017
1048518319;72986624; Strategy;;;18/06/2016;18/06/2016
1048542880;129966080; Role Playing; Strategy;;06/01/2016;24/06/2019
1048895539;108193792; Entertainment; Puzzle; Strategy;17/12/2016;17/12/2016
1048899509;27632640; Strategy; Action;;12/01/2016;12/01/2016
1049220831;172102656; Strategy; Simulation;;16/03/2016;08/07/2019
1049308573;220795904; Strategy; Card; Entertainment;24/11/2016;05/07/2018
1049446681;18070528; Strategy; Puzzle;;23/04/2017;24/02/2018
1049716268;266311680; Action; Sports; Strategy;22/11/2017;04/07/2019
1049822434;46484480; Strategy;;;04/01/2016;04/01/2016
1050002572;141622272; Action; Strategy;;15/04/2016;19/07/2016
1050072854;80003072; Strategy; Role Playing;;04/01/2016;26/01/2016
1050101469;294190080; Role Playing; Strategy;;15/11/2016;29/07/2019
1050402885;121890816; Casual; Strategy;;02/02/2016;17/03/2016
1050764647;116103168; Puzzle; Strategy;;26/11/2016;02/02/2018
1050809211;97476608; Entertainment; Puzzle; Strategy;03/01/2016;07/03/2018
1050897638;993405952; Strategy; Role Playing;;06/05/2016;14/11/2018
1050973882;119106560; Action; Strategy;;27/06/2016;25/06/2018
1051031174;299779072; Strategy; Simulation;;24/08/2016;08/10/2016
1051244595;122343424; Role Playing; Strategy;;09/01/2016;09/01/2016
1051245896;165150720; Strategy; Role Playing;;09/01/2016;09/01/2016
1051403514;261399552; Role Playing; Entertainment; Strategy;05/05/2016;09/06/2016
1051991807;20214784; Entertainment; Board; Strategy;22/09/2016;23/09/2016
1052018766;83760128; Sports; Strategy; Sports;14/12/2016;02/05/2019
1052307490;94368768; Action; Strategy;;03/01/2016;03/01/2016
1052448204;45677568; Puzzle; Strategy;;04/03/2016;04/03/2016
1052491585;34348032; Puzzle; Strategy;;23/02/2016;13/02/2019
1052616897;114495488; Strategy; Adventure;;09/01/2016;10/02/2016
1052744467;54051840; Entertainment; Strategy; Card;13/07/2016;10/10/2016
1053012308;145107968; Strategy; Entertainment; Action;02/03/2016;01/08/2019
1053124515;75670528; Casual; Strategy;;23/05/2016;23/05/2016
1053527690;203185152; Strategy; Sports; Sports;21/07/2016;24/05/2019
1053759325;20660224; Entertainment; Action; Strategy;05/10/2016;25/10/2016
1053794798;80207872; Puzzle; Strategy; Entertainment;27/04/2016;06/12/2016
1053903979;179228672; Strategy; Simulation; Entertainment;04/02/2019;14/02/2019
1054247272;170228736; Action; Entertainment; Strategy;12/05/2016;15/07/2016
1055274701;124187648; Simulation; Strategy;;31/03/2016;15/02/2019
1055274735;135937024; Strategy;;;28/04/2017;28/04/2017
1055573000;44167168; Strategy; Simulation;;19/03/2016;21/11/2017
1055987925;404384768; Strategy; Board;;08/09/2016;12/06/2017
1056022503;408652800; Role Playing; Strategy;;02/11/2016;15/11/2016
1056367184;27054080; Strategy; Entertainment; Board;01/09/2016;19/04/2019
1056678628;12556288; Puzzle; Entertainment; Strategy;12/01/2016;10/06/2016
1056882655;20305920; Board; Strategy; Entertainment;26/02/2016;05/12/2016
1056920931;800476160; Action; Entertainment; Strategy;13/09/2017;13/03/2019
1057029700;82508800; Strategy; Entertainment; Action;09/02/2016;14/06/2016
1057039541;29312000; Strategy; Puzzle;;27/05/2017;29/06/2017
1057415516;184579072; Entertainment; Strategy; Sports;06/04/2016;05/06/2016
1057415521;176075776; Entertainment; Sports; Strategy;11/05/2016;05/06/2016
1057416982;180089856; Entertainment; Sports; Strategy;01/06/2016;05/06/2016
1057462781;413052928; Strategy; Role Playing;;29/10/2016;29/10/2016
1057734937;27688960; Strategy; Word;;14/05/2016;14/05/2016
1057753021;80910336; Casual; Strategy;;21/05/2016;06/10/2016
1057762813;32696320; Entertainment; Board; Strategy;03/02/2016;15/06/2018
1057941249;99311616; Board; Strategy; Utilities;22/03/2016;06/04/2019
1058272270;184285184; Strategy; Entertainment; Board;25/05/2016;22/02/2019
1058272445;252683264; Strategy; Adventure; Entertainment;10/02/2016;26/04/2016
1058302850;252249088; Entertainment; Strategy; Adventure;18/03/2016;26/04/2016
1058502954;330874880; Strategy; Simulation;;24/07/2017;16/05/2019
1058526204;246902784; Strategy; Simulation;;31/05/2016;16/07/2019
1058528141;267806720; Strategy; Action; Entertainment;16/11/2016;26/07/2019
1058603368;19291136; Strategy; Casual;;12/01/2016;12/04/2016
1059005144;135165952; Action; Entertainment; Strategy;05/01/2016;15/02/2018
1059041383;409973760; Puzzle; Entertainment; Strategy;05/08/2017;14/08/2017
1059143167;149141504; Puzzle; Strategy; Entertainment;17/08/2017;18/08/2018
1059173173;177560576; Simulation; Strategy; Entertainment;03/03/2016;03/03/2016
1059336403;285711360; Strategy; Role Playing;;21/06/2017;25/06/2019
1059378205;193345536; Strategy;;;22/04/2016;17/08/2016
1059403992;183727104; Simulation; Strategy;;05/02/2016;29/05/2018
1059643261;433968128; Strategy; Action;;06/09/2016;05/01/2017
1059695084;201332736; Strategy; Casual; Entertainment;04/05/2016;25/06/2019
1059863748;64348160; Casual; Strategy;;04/02/2016;04/02/2016
1059912793;25674752; Puzzle; Strategy; Entertainment;04/01/2016;04/01/2016
1059950904;24343552; Strategy; Entertainment; Action;21/01/2016;21/01/2016
1060062637;345734144; Action; Strategy; Entertainment;31/03/2016;15/03/2019
1060076648;90400768; Entertainment; Strategy; Action;15/02/2016;24/04/2018
